	HMDB (*Representative ID)	Metabolite	Method	Pooled QC sample CV	RT	m/z
C18n_QI06	HMDB04705	12.13-diHOME	C18-neg	0.027194334	9.75	313.2387
C18n_QI07	HMDB04704	9.10-diHOME	C18-neg	0.026412656	9.95	313.2387
C18n_QI08	HMDB00535	caproate	C18-neg	0.046835889	5.79	115.0752
C18n_QI09	HMDB00666	heptanoate	C18-neg	0.074082919	7.43	129.0909
C18n_QI10	HMDB00764	hydrocinnamate	C18-neg	0.024137633	5.81	149.0597
C18n_QI11	HMDB00703	mandelate	C18-neg	0.033913329	1.84	151.039
C18n_TF1	HMDB00711*	2-hydroxyoctanoate	C18-neg	0.16606771	6.37	159.1027
C18n_QI12	HMDB01954	3-hydroxyoctanoate	C18-neg	0.073139613	5.47	159.1016
C18n_QI13	HMDB00511	caprate	C18-neg	0.053002418	10.55	171.1381
C18n_QI14	HMDB00197	indoleacetate	C18-neg	0.031381142	3.81	174.0552
C18n_TF2	HMDB02203	3-hydroxydecanoate	C18-neg	0.100077073	8.12	187.134
C18n_QI15	HMDB00638	dodecanoate	C18-neg	0.025840803	12.18	199.1697
C18n_QI16	HMDB00888	undecanedionate	C18-neg	0.026132651	6.79	215.1284
C18n_QI17	HMDB02000	myristoleate	C18-neg	0.046632622	12.55	225.1855
C18n_QI18	HMDB00806	myristate	C18-neg	0.026548624	13.61	227.2013
C18n_TF3	HMDB00623	dodecanedioate	C18-neg	0.088785966	7.62	229.1445
C18n_TF4	HMDB00826	pentadecanoate	C18-neg	0.039288261	14.23	241.2173
C18n_QI19	HMDB02261	hydroxymyristate	C18-neg	0.030602997	12.11	243.1964
C18n_QI20	HMDB03229	palmitoleate	C18-neg	0.027099407	13.82	253.2174
C18n_QI21	HMDB00220	palmitate	C18-neg	0.039758169	14.78	255.2331
C18n_QI22	HMDB00872	tetradecanedioate	C18-neg	0.053440476	9.05	257.1758
C18n_QI23	HMDB60038	10-heptadecenoate	C18-neg	0.041830109	14.38	267.233
C18n_QI25	HMDB62548	2-hydroxyhexadecanoate	C18-neg	0.030819125	13.54	271.228
C18n_QI26	HMDB01388	alpha-linolenate	C18-neg	0.017526872	13.36	277.2175
C18n_QI27	HMDB00673	linoleate	C18-neg	0.028062026	14.1	279.2333
C18n_QI28	HMDB00207	oleate	C18-neg	0.038589988	14.9	281.249
C18n_QI29	HMDB00827	stearate	C18-neg	0.147462217	15.73	283.2644
C18n_QI30	HMDB00672	hexadecanedioate	C18-neg	0.058184789	10.39	285.2071
C18n_QI31	HMDB13622	10-nonadecenoate	C18-neg	0.129245942	15.37	295.2643
C18n_QI32	HMDB00772	nonadecanoate	C18-neg	0.114882289	16.19	297.28
C18n_QI33	HMDB61710	17-methylstearate	C18-neg	0.193605402	16.04	297.28
C18n_QI34	HMDB01999	eicosapentaenoate	C18-neg	0.017738161	13.23	301.2175
C18n_QI35	HMDB01043	arachidonate	C18-neg	0.026220507	13.93	303.2333
C18n_QI36	HMDB02925	eicosatrienoate	C18-neg	0.044704274	14.41	305.2489
C18n_QI37	HMDB05060	eicosadienoate	C18-neg	0.079573351	15.05	307.2644
C18n_QI38	HMDB02231	eicosenoate	C18-neg	0.171765576	15.78	309.2801
C18n_QI39	HMDB02212	arachidate	C18-neg	0.118834274	16.63	311.2958
C18n_QI40	HMDB00801	phytanate	C18-neg	0.211783948	16	311.2958
C18n_QI41	HMDB02183	docosahexaenoate	C18-neg	0.026863324	13.71	327.2336
C18n_QI42	HMDB01976	docosapentaenoate	C18-neg	0.027831612	14.08	329.2487
C18n_QI43	HMDB02226	adrenate	C18-neg	0.033543453	14.7	331.2645
C18n_QI44	HMDB02068	13-docosenoate	C18-neg	0.112808691	16.62	337.3115
C18n_QI45	NA	eicosanedioate	C18-neg	0.075418923	12.91	341.27
C18n_QI46	HMDB02364	oleanate	C18-neg	0.029696841	13.5	455.3534
C18n_QI47	HMDB02392	masilinate	C18-neg	0.024128556	11.38	471.3481
C18n_QI48	HMDB00761	lithocholate	C18-neg	0.018583315	11.98	375.2905
C18n_QI49	HMDB00518	chenodeoxycholate	C18-neg	0.022652797	10.12	391.2855
C18n_QI50	HMDB00626	deoxycholate	C18-neg	0.015982545	10.32	391.2857
C18n_QI51	HMDB00733*	hyodeoxycholate/ursodeoxycholate	C18-neg	0.023854592	8.85	391.2855
C18n_QI52	HMDB00391	ketodeoxycholate	C18-neg	0.02786767	7.97	405.2648
C18n_QI53	HMDB00506	alpha-muricholate	C18-neg	0.032195325	7.74	407.2804
C18n_QI54	HMDB00619	cholate	C18-neg	0.026841388	8.73	407.2804
C18n_QI55	HMDB00698	glycolithocholate	C18-neg	0.029194015	10.45	432.3119
C18n_QI56	HMDB00637	glycochenodeoxycholate	C18-neg	0.01930499	8.84	448.307
C18n_QI57	HMDB00631	glycodeoxycholate	C18-neg	0.017564641	9.08	448.3074
C18n_QI58	HMDB00708	glycoursodeoxycholate	C18-neg	0.03135902	7.69	448.3071
C18n_QI59	HMDB00138	glycocholate	C18-neg	0.020988457	7.74	464.3021
C18n_QI60	HMDB00722	taurolithocholate	C18-neg	0.014963438	9.65	482.295
C18n_QI61	HMDB00951	taurochenodeoxycholate	C18-neg	0.020500688	8.12	498.2899
C18n_QI62	HMDB00896	taurodeoxycholate	C18-neg	0.022760322	8.39	498.29
C18n_QI63	HMDB00874*	taurohyodeoxycholate/tauroursodeoxycholate	C18-neg	0.022425484	7.06	498.29
C18n_QI64	HMDB00932*	tauro-alpha-muricholate/tauro-beta-muricholate	C18-neg	0.023191657	6.15	514.2844
C18n_QI65	HMDB00036	taurocholate	C18-neg	0.020577833	7.18	514.2845
C18n_QI66	HMDB01895	salicylate	C18-neg	0.013075047	2.84	137.0233
C18n_TF5	HMDB01889	theophylline	C18-neg	0.196510036	0.92	179.0574
C18n_QI67	HMDB29723	saccharin	C18-neg	0.02076906	0.99	181.9909
C18n_QI68	HMDB00784	azelate	C18-neg	0.012232628	3.67	187.0968
C18n_QI69	HMDB00792	sebacate	C18-neg	0.024412179	5.75	201.1126
C18n_TF6	NA	2-hydroxyibuprofen	C18-neg	0.079426006	5.83	221.1183
C18n_QI70	NA	carboxyibuprofen	C18-neg	0.029964712	6.03	235.0973
C18n_QI71	HMDB01928	hydrochlorothiazide	C18-neg	0.045772628	1.26	295.9574
C18n_TF7	HMDB01933	furosemide	C18-neg	0.217008294	6.32	329.0004
C18n_QI72	HMDB05032	cetrizine	C18-neg	0.10261445	7.31	387.1481
C18n_QI73	HMDB14420	olmesartan	C18-neg	0.058460809	4.98	445.2
C18n_QI74	HMDB35665	1.2.3.4-tetrahydro-beta-carboline-1.3-dicarboxylate	C18-neg	0.065813249	1.07	259.0724
C18n_QI77	HMDB04072	4-hydroxystyrene	C18-neg	0.026569664	2.16	119.049
C18n_QI78	HMDB00866	acetytyrosine	C18-neg	0.054256532	1	222.0768
C18n_QI79	HMDB01518	alpha-CEHC	C18-neg	0.093190922	7.69	277.1442
C18n_QI80	HMDB02121	carnosol	C18-neg	0.032129166	10.37	329.1759
C18n_QI4788	NA	carnosol_isomer	C18-neg	0.181366916	10.67	329.1766
C18n_QI81	HMDB30180	crustecdysone	C18-neg	0.07188607	2.28	525.3071
C18n_QI83	HMDB00786	oxypurinol	C18-neg	0.019187572	0.72	151.0253
C18n_QI84	HMDB02100	palmitoylethanolamide	C18-neg	0.036703857	13.3	344.2808
C18n_QI85	HMDB00779	phenyllactate	C18-neg	0.019404433	2.16	165.0547
C18n_QI86	HMDB00020	p-hydroxyphenylacetate	C18-neg	0.017897292	1.29	151.039
C18n_TF8	HMDB00245	porphobilinogen	C18-neg	0.050196241	0.88	225.0881
C18n_QI88	HMDB04159	urobilin	C18-neg	0.031482405	6.09	593.334
C18n_QI89	HMDB02368	nervonic acid	C18-neg	0.170399248	17.54	365.3424
C18n_QI90	HMDB33585	acesulfame	C18-neg	0.035443279	0.94	161.9856
C18n_QI91	HMDB15070	oxymetazoline	C18-neg	0.027091787	5.83	259.1817
C18n_QI92	HMDB06219	13-cis-retinoic acid	C18-neg	0.094230211	13.59	299.2016
C18n_QI2555			C18-neg	0.277483126	0.31	255.2329
C18n_QI141			C18-neg	0.340924781	0.33	94.9794
C18n_QI157			C18-neg	0.059534048	0.33	96.9587
C18n_QI189			C18-neg	0.439236511	0.33	103.9191
C18n_QI213			C18-neg	0.221768894	0.33	108.0304
C18n_QI239			C18-neg	0.409187639	0.33	111.0075
C18n_QI383			C18-neg	0.295086703	0.33	123.0077
C18n_QI395			C18-neg	0.417556905	0.33	124.0255
C18n_QI485			C18-neg	0.386251209	0.33	134.0237
C18n_QI782			C18-neg	0.503446696	0.33	156.9957
C18n_QI855			C18-neg	0.255591787	0.33	162.8924
C18n_QI1070			C18-neg	0.567482074	0.33	180.912
C18n_QI159			C18-neg	0.160530586	0.34	96.9681
C18n_QI367			C18-neg	0.616906335	0.34	122.0317
C18n_QI447			C18-neg	0.236267172	0.34	129.9746
C18n_QI649			C18-neg	0.132171469	0.34	146.9645
C18n_QI216			C18-neg	0.246048917	0.35	108.0443
C18n_QI404			C18-neg	0.17050603	0.35	124.0393
C18n_QI2502			C18-neg	0.399057617	0.35	254.9172
C18n_QI821			C18-neg	0.065414457	0.36	159.8928
C18n_QI423			C18-neg	0.208472827	0.37	127.0138
C18n_QI436			C18-neg	0.160362481	0.37	129.0182
C18n_QI516			C18-neg	0.135404039	0.37	136.0393
C18n_QI1122			C18-neg	0.060145868	0.37	183.9125
C18n_QI1540			C18-neg	0.059348835	0.37	207.9309
C18n_QI1894			C18-neg	0.103157466	0.37	228.0698
C18n_QI247			C18-neg	0.429268329	0.38	113.0231
C18n_QI418			C18-neg	0.402936739	0.38	126.0185
C18n_QI502			C18-neg	0.301537162	0.38	135.044
C18n_QI1011			C18-neg	0.097939632	0.38	175.9606
C18n_QI1268			C18-neg	0.051941645	0.38	188.9711
C18n_QI412			C18-neg	0.25570275	0.39	125.0345
C18n_QI4455			C18-neg	0.072321382	0.41	318.9301
C18n_QI177			C18-neg	0.405210021	0.42	101.0231
C18n_QI547			C18-neg	0.19257878	0.42	138.0185
C18n_QI280			C18-neg	0.529880911	0.43	115.0389
C18n_QI532			C18-neg	0.176096572	0.43	137.0233
C18n_QI442			C18-neg	0.374752603	0.44	129.0546
C18n_QI448			C18-neg	0.057324425	0.44	129.9748
C18n_QI572			C18-neg	0.390563686	0.44	140.0342
C18n_QI797			C18-neg	0.460327829	0.44	157.086
C18n_QI184			C18-neg	0.078282954	0.45	102.9555
C18n_QI672			C18-neg	0.132648443	0.45	148.0605
C18n_QI773			C18-neg	0.11271938	0.45	154.9951
C18n_QI120			C18-neg	0.286112505	0.46	87.0073
C18n_QI677			C18-neg	0.12730798	0.46	148.9663
C18n_QI1049			C18-neg	0.048563831	0.46	179.9355
C18n_QI6330			C18-neg	0.110667253	0.46	378.9188
C18n_QI187			C18-neg	0.080654963	0.47	103.919
C18n_QI10625			C18-neg	0.113840893	0.47	514.8933
C18n_QI245			C18-neg	0.051243212	0.48	112.9844
C18n_QI647			C18-neg	0.051414943	0.48	146.9601
C18n_QI98			C18-neg	0.184933706	0.49	75.0073
C18n_QI999			C18-neg	0.049695295	0.49	174.9552
C18n_QI1077			C18-neg	0.075977679	0.49	180.9723
C18n_QI2122			C18-neg	0.08863221	0.49	239.9032
C18n_QI2215			C18-neg	0.081526716	0.49	242.9435
C18n_QI2379			C18-neg	0.108333689	0.49	248.9605
C18n_QI4165			C18-neg	0.102982529	0.49	310.9314
C18n_QI4397			C18-neg	0.120296798	0.49	316.9481
C18n_QI1209			C18-neg	0.06898413	0.5	187.0968
C18n_QI8482			C18-neg	0.104506955	0.5	446.9062
C18n_QI188			C18-neg	0.094857724	0.51	103.919
C18n_QI878			C18-neg	0.071956302	0.51	164.9263
C18n_QI3984			C18-neg	0.089986175	0.51	304.9146
C18n_QI122			C18-neg	0.062374213	0.52	88.0025
C18n_QI2037			C18-neg	0.120587005	0.52	235.9084
C18n_QI176			C18-neg	0.163961862	0.53	100.9323
C18n_QI714			C18-neg	0.360676281	0.54	150.953
C18n_QI772			C18-neg	0.217832679	0.54	154.9733
C18n_QI3588			C18-neg	0.17363326	0.54	289.9226
C18n_QI3693			C18-neg	0.091220321	0.54	294.9533
C18n_QI5620			C18-neg	0.147468881	0.54	356.9245
C18n_QI5811			C18-neg	0.218189397	0.54	362.9414
C18n_QI7243			C18-neg	0.142692934	0.54	406.9067
C18n_QI284			C18-neg	0.289677938	0.55	116.0341
C18n_QI352			C18-neg	0.154966056	0.55	120.9537
C18n_QI450			C18-neg	0.333810717	0.55	130.0498
C18n_QI713			C18-neg	0.058802129	0.55	150.9459
C18n_QI880			C18-neg	0.184887577	0.55	164.9341
C18n_QI1012			C18-neg	0.101815759	0.55	175.9678
C18n_QI1072			C18-neg	0.127470443	0.55	180.9653
C18n_QI1432			C18-neg	0.256302823	0.55	200.9886
C18n_QI1555			C18-neg	0.05043913	0.55	208.9604
C18n_QI1755			C18-neg	0.133689873	0.55	222.9763
C18n_QI1859			C18-neg	0.039109338	0.55	226.9657
C18n_QI2138			C18-neg	0.135018963	0.55	240.9815
C18n_QI3159			C18-neg	0.124124074	0.55	275.9064
C18n_QI4233			C18-neg	0.167436079	0.55	312.9129
C18n_QI4309			C18-neg	0.33824591	0.55	314.9103
C18n_QI5064			C18-neg	0.126181116	0.55	338.9193
C18n_QI5260			C18-neg	0.08758286	0.55	344.9239
C18n_QI5261			C18-neg	0.07603762	0.55	344.9353
C18n_QI5810			C18-neg	0.179501195	0.55	362.9355
C18n_QI7306			C18-neg	0.054760741	0.55	408.9343
C18n_QI7441			C18-neg	0.06783281	0.55	412.9113
C18n_QI7774			C18-neg	0.149401975	0.55	422.95
C18n_QI9273			C18-neg	0.117375828	0.55	470.9046
C18n_QI9720			C18-neg	0.230020257	0.55	484.9201
C18n_QI10061			C18-neg	0.41121135	0.55	494.9187
C18n_QI10872			C18-neg	0.104230976	0.55	522.9138
C18n_QI10994			C18-neg	0.104973283	0.55	526.8781
C18n_QI11234			C18-neg	0.209473818	0.55	536.9299
C18n_QI470			C18-neg	0.393007155	0.56	131.986
C18n_QI605			C18-neg	0.168454579	0.56	144.0655
C18n_QI675			C18-neg	0.046530635	0.56	148.9486
C18n_QI3971			C18-neg	0.214669324	0.56	303.9644
C18n_QI4234			C18-neg	0.12494433	0.56	312.9518
C18n_QI6871			C18-neg	0.201202869	0.56	394.9421
C18n_QI8890			C18-neg	0.074376536	0.56	458.9042
C18n_QI2025			C18-neg	0.087675279	0.57	234.9348
C18n_QI2760			C18-neg	0.028118386	0.57	262.9302
C18n_QI2815			C18-neg	0.037569876	0.57	264.9274
C18n_QI3172			C18-neg	0.262387962	0.57	276.936
C18n_QI3692			C18-neg	0.059980319	0.57	294.9466
C18n_QI4565			C18-neg	0.032014909	0.57	322.9415
C18n_QI5003			C18-neg	0.046336734	0.57	336.9574
C18n_QI5125			C18-neg	0.072078369	0.57	340.9465
C18n_QI5553			C18-neg	0.081964964	0.57	354.9624
C18n_QI6247			C18-neg	0.172457543	0.57	376.91
C18n_QI6326			C18-neg	0.220926881	0.57	378.9078
C18n_QI6377			C18-neg	0.09070124	0.57	380.9267
C18n_QI6720			C18-neg	0.049257703	0.57	390.9166
C18n_QI8771			C18-neg	0.092255968	0.57	454.9273
C18n_QI9201			C18-neg	0.166789215	0.57	468.9425
C18n_QI10060			C18-neg	0.316436572	0.57	494.9067
C18n_QI11363			C18-neg	0.081573178	0.57	540.913
C18n_QI11697			C18-neg	0.126620822	0.57	554.9292
C18n_QI11967			C18-neg	0.127644186	0.57	568.9073
C18n_QI12007			C18-neg	0.201501007	0.57	570.9063
C18n_QI12179			C18-neg	0.25564032	0.57	582.9229
C18n_QI13081			C18-neg	0.384418017	0.57	654.8932
C18n_QI13109			C18-neg	0.51586159	0.57	656.8914
C18n_QI3173			C18-neg	0.059683608	0.58	276.9458
C18n_QI6721			C18-neg	0.053513196	0.58	390.9341
C18n_QI7187			C18-neg	0.130147225	0.58	404.9312
C18n_QI7938			C18-neg	0.209510618	0.58	427.9323
C18n_QI8299			C18-neg	0.105746452	0.58	440.9475
C18n_QI3589			C18-neg	0.088076464	0.59	289.9489
C18n_QI12674			C18-neg	0.057231814	0.59	614.8998
C18n_QI13502			C18-neg	0.089975097	0.59	728.881
C18n_QI5677			C18-neg	0.033727144	0.6	358.9447
C18n_QI6582			C18-neg	0.025572412	0.6	386.9396
C18n_QI7069			C18-neg	0.026278233	0.6	400.9551
C18n_QI9343			C18-neg	0.032442697	0.6	472.9247
C18n_QI9795			C18-neg	0.048004522	0.6	486.9405
C18n_QI10214			C18-neg	0.028429293	0.6	500.9199
C18n_QI10626			C18-neg	0.034216683	0.6	514.9352
C18n_QI11362			C18-neg	0.261526767	0.6	540.8986
C18n_QI11696			C18-neg	0.230193055	0.6	554.9144
C18n_QI11771			C18-neg	0.599887483	0.6	558.911
C18n_QI12254			C18-neg	0.056160548	0.6	586.9048
C18n_QI12470			C18-neg	0.051967036	0.6	600.9207
C18n_QI12695			C18-neg	0.051310849	0.6	616.8986
C18n_QI12830			C18-neg	0.050459127	0.6	628.9157
C18n_QI12845			C18-neg	0.058807809	0.6	630.9144
C18n_QI12990			C18-neg	0.085129344	0.6	642.9316
C18n_QI13451			C18-neg	0.438111698	0.6	716.9002
C18n_QI13506			C18-neg	0.117585843	0.6	729.8821
C18n_QI13509			C18-neg	0.079706063	0.6	730.88
C18n_QI13552			C18-neg	0.102979548	0.6	742.8971
C18n_QI13563			C18-neg	0.064910695	0.6	744.8958
C18n_QI13608			C18-neg	0.180952951	0.6	756.9125
C18n_QI13616			C18-neg	0.109306696	0.6	758.9095
C18n_QI119			C18-neg	0.101715584	0.61	86.9923
C18n_QI185			C18-neg	0.053397684	0.61	102.9874
C18n_QI257			C18-neg	0.037719454	0.61	114.9875
C18n_QI434			C18-neg	0.050870363	0.61	129.0032
C18n_QI456			C18-neg	0.030577799	0.61	130.9825
C18n_QI607			C18-neg	0.039159566	0.61	144.9982
C18n_QI806			C18-neg	0.030080144	0.61	158.9775
C18n_QI980			C18-neg	0.034796941	0.61	172.9933
C18n_QI2275			C18-neg	0.020157784	0.61	244.9639
C18n_QI2647			C18-neg	0.02285146	0.61	258.9797
C18n_QI3050			C18-neg	0.018693907	0.61	272.9593
C18n_QI3174			C18-neg	0.036564566	0.61	276.9539
C18n_QI3467			C18-neg	0.021240464	0.61	286.9748
C18n_QI3866			C18-neg	0.025253362	0.61	300.9904
C18n_QI4310			C18-neg	0.058024876	0.61	315.0062
C18n_QI6122			C18-neg	0.040829162	0.61	372.9602
C18n_QI6584			C18-neg	0.176101203	0.61	386.9745
C18n_QI7136			C18-neg	0.037865884	0.61	402.9171
C18n_QI7520			C18-neg	0.03540932	0.61	414.9709
C18n_QI7610			C18-neg	0.045841176	0.61	416.9328
C18n_QI7886			C18-neg	0.093180127	0.61	426.9198
C18n_QI7887			C18-neg	0.310892271	0.61	426.9215
C18n_QI7947			C18-neg	0.049085349	0.61	428.9863
C18n_QI8014			C18-neg	0.054501187	0.61	430.9482
C18n_QI8297			C18-neg	0.257966512	0.61	440.9354
C18n_QI8356			C18-neg	0.325716746	0.61	443.002
C18n_QI8424			C18-neg	0.208557168	0.61	444.9635
C18n_QI10215			C18-neg	0.071922258	0.61	500.9559
C18n_QI10685			C18-neg	0.068599368	0.61	516.8976
C18n_QI11044			C18-neg	0.040330386	0.61	528.9509
C18n_QI11097			C18-neg	0.060495885	0.61	530.9132
C18n_QI11418			C18-neg	0.099473116	0.61	542.9667
C18n_QI11464			C18-neg	0.115852241	0.61	544.9286
C18n_QI12675			C18-neg	0.344056855	0.61	614.936
C18n_QI12696			C18-neg	0.514192758	0.61	616.9343
C18n_QI12996			C18-neg	0.093591933	0.61	644.9292
C18n_QI13558			C18-neg	0.095165202	0.61	743.8983
C18n_QI13614			C18-neg	0.214330329	0.61	757.9136
C18n_QI832			C18-neg	0.053809673	0.62	160.9814
C18n_QI1001			C18-neg	0.459601453	0.62	174.9976
C18n_QI1195			C18-neg	0.053821213	0.62	187.009
C18n_QI1249			C18-neg	0.077472444	0.62	188.9708
C18n_QI1430			C18-neg	0.170710038	0.62	200.9735
C18n_QI1679			C18-neg	0.035676317	0.62	216.9686
C18n_QI1951			C18-neg	0.174613841	0.62	230.9801
C18n_QI2382			C18-neg	0.229987693	0.62	248.9911
C18n_QI3051			C18-neg	0.218899951	0.62	272.9939
C18n_QI3545			C18-neg	0.033729419	0.62	288.9367
C18n_QI3929			C18-neg	0.039022434	0.62	302.9523
C18n_QI4398			C18-neg	0.076247583	0.62	316.9678
C18n_QI7888			C18-neg	0.173285408	0.62	426.9305
C18n_QI8298			C18-neg	0.29099766	0.62	440.9473
C18n_QI9332			C18-neg	0.266651051	0.62	472.1276
C18n_QI9797			C18-neg	0.075842351	0.62	487.0397
C18n_QI10216			C18-neg	0.122030112	0.62	501.0555
C18n_QI10277			C18-neg	0.353623236	0.62	503.017
C18n_QI12471			C18-neg	0.174219331	0.62	601.0205
C18n_QI12676			C18-neg	0.328552355	0.62	615.0354
C18n_QI1681			C18-neg	0.087245226	0.63	217.0095
C18n_QI2327			C18-neg	0.172713602	0.63	246.999
C18n_QI3401			C18-neg	0.2468898	0.63	285.0944
C18n_QI5126			C18-neg	0.123628097	0.63	340.9468
C18n_QI5264			C18-neg	0.115226952	0.63	345.0644
C18n_QI5554			C18-neg	0.124009576	0.63	354.9625
C18n_QI5667			C18-neg	0.157281519	0.63	358.1473
C18n_QI5679			C18-neg	0.184736807	0.63	359.0439
C18n_QI6123			C18-neg	0.047318929	0.63	373.0593
C18n_QI6424			C18-neg	0.245213693	0.63	382.0234
C18n_QI6511			C18-neg	0.151837447	0.63	385.1221
C18n_QI6587			C18-neg	0.063204406	0.63	387.075
C18n_QI6665			C18-neg	0.142830739	0.63	389.037
C18n_QI7070			C18-neg	0.172317813	0.63	401.0656
C18n_QI8301			C18-neg	0.319705564	0.63	441.0468
C18n_QI8358			C18-neg	0.235423506	0.63	443.1017
C18n_QI9345			C18-neg	0.287236882	0.63	473.1593
C18n_QI13099			C18-neg	0.452433866	0.63	656.2099
C18n_QI13252			C18-neg	0.291090317	0.63	679.2136
C18n_QI13261			C18-neg	0.678190911	0.63	679.7144
C18n_QI13525			C18-neg	0.231328473	0.63	737.2367
C18n_QI13619			C18-neg	0.476868724	0.63	760.2394
C18n_QI13835			C18-neg	0.375545859	0.63	818.263
C18n_QI115			C18-neg	0.060455608	0.64	80.9637
C18n_QI529			C18-neg	0.074479342	0.64	136.939
C18n_QI606			C18-neg	0.14736873	0.64	144.9879
C18n_QI632			C18-neg	0.045227527	0.64	146.1005
C18n_QI733			C18-neg	0.192029911	0.64	151.9775
C18n_QI879			C18-neg	0.075622852	0.64	164.9341
C18n_QI1270			C18-neg	0.237109392	0.64	188.9858
C18n_QI1389			C18-neg	0.23718548	0.64	198.9989
C18n_QI1504			C18-neg	0.081981562	0.64	206.0123
C18n_QI1519			C18-neg	0.138679631	0.64	206.5141
C18n_QI1525			C18-neg	0.050187103	0.64	207.0201
C18n_QI1539			C18-neg	0.194996101	0.64	207.5219
C18n_QI1542			C18-neg	0.194404201	0.64	208.0042
C18n_QI1670			C18-neg	0.167303146	0.64	215.5194
C18n_QI1699			C18-neg	1.18559217	0.64	217.5112
C18n_QI1741			C18-neg	0.074014579	0.64	222.0368
C18n_QI1860			C18-neg	0.050475627	0.64	226.9658
C18n_QI1966			C18-neg	0.277188134	0.64	231.0838
C18n_QI2001			C18-neg	0.116988091	0.64	232.9223
C18n_QI2139			C18-neg	0.067675212	0.64	240.9817
C18n_QI2284			C18-neg	0.088019831	0.64	245.0629
C18n_QI2366			C18-neg	0.101007691	0.64	248.8964
C18n_QI2658			C18-neg	0.041777378	0.64	259.0788
C18n_QI3068			C18-neg	0.089655302	0.64	273.0944
C18n_QI3123			C18-neg	0.153445963	0.64	275.0562
C18n_QI3208			C18-neg	0.133138293	0.64	278.0343
C18n_QI3482			C18-neg	0.088587878	0.64	287.0851
C18n_QI4097			C18-neg	0.212069215	0.64	308.9155
C18n_QI4392			C18-neg	0.156918724	0.64	316.5322
C18n_QI4633			C18-neg	0.124417213	0.64	324.5296
C18n_QI4692			C18-neg	0.059556685	0.64	327.0666
C18n_QI5132			C18-neg	0.285374256	0.64	341.0824
C18n_QI5196			C18-neg	0.087955088	0.64	343.0405
C18n_QI5300			C18-neg	0.07071904	0.64	345.2149
C18n_QI5498			C18-neg	0.066574542	0.64	352.9976
C18n_QI5559			C18-neg	0.187699275	0.64	355.0725
C18n_QI5619			C18-neg	0.256956356	0.64	356.9224
C18n_QI5704			C18-neg	0.135266114	0.64	359.1793
C18n_QI5812			C18-neg	0.178290323	0.64	362.9414
C18n_QI5979			C18-neg	0.088312824	0.64	368.1205
C18n_QI6597			C18-neg	0.105382891	0.64	387.1525
C18n_QI6708			C18-neg	0.148219667	0.64	390.1099
C18n_QI6873			C18-neg	0.140596369	0.64	395.0534
C18n_QI7305			C18-neg	0.166052929	0.64	408.9342
C18n_QI7674			C18-neg	0.295213882	0.64	419.1125
C18n_QI7775			C18-neg	0.270564334	0.64	422.9503
C18n_QI7835			C18-neg	0.120142439	0.64	424.9084
C18n_QI8244			C18-neg	0.127851449	0.64	438.924
C18n_QI8296			C18-neg	0.139131547	0.64	440.8825
C18n_QI8695			C18-neg	0.533302126	0.64	452.9395
C18n_QI8770			C18-neg	0.146671218	0.64	454.8983
C18n_QI8827			C18-neg	0.438004504	0.64	457.0217
C18n_QI9205			C18-neg	0.09071388	0.64	469.2045
C18n_QI9522			C18-neg	0.247898138	0.64	479.1998
C18n_QI10196			C18-neg	0.255685158	0.64	500.1395
C18n_QI10461			C18-neg	0.366675184	0.64	508.8694
C18n_QI10688			C18-neg	0.305312785	0.64	517.1587
C18n_QI10924			C18-neg	0.202941592	0.64	524.2228
C18n_QI10935			C18-neg	0.191493613	0.64	525.0084
C18n_QI11364			C18-neg	0.393057723	0.64	540.9827
C18n_QI12076			C18-neg	0.404774219	0.64	575.183
C18n_QI12439			C18-neg	0.210479377	0.64	598.1864
C18n_QI12448			C18-neg	0.500541713	0.64	598.6882
C18n_QI13865			C18-neg	0.110531231	0.64	827.2692
C18n_QI158			C18-neg	0.046473361	0.65	96.9588
C18n_QI170			C18-neg	0.061211625	0.65	98.9546
C18n_QI433			C18-neg	0.104679008	0.65	128.9747
C18n_QI441			C18-neg	0.263958795	0.65	129.0546
C18n_QI510			C18-neg	0.100686395	0.65	135.0553
C18n_QI518			C18-neg	0.213203334	0.65	136.0394
C18n_QI530			C18-neg	0.105310392	0.65	136.9721
C18n_QI622			C18-neg	0.033199322	0.65	145.0972
C18n_QI937			C18-neg	0.260947786	0.65	168.9805
C18n_QI954			C18-neg	0.121950547	0.65	170.0014
C18n_QI961			C18-neg	0.161360495	0.65	171.0056
C18n_QI991			C18-neg	0.053167408	0.65	173.1035
C18n_QI1016			C18-neg	0.130838695	0.65	176.9856
C18n_QI1069			C18-neg	0.105432372	0.65	180.0869
C18n_QI1116			C18-neg	0.054837722	0.65	183.1244
C18n_QI1616			C18-neg	0.04671554	0.65	213.0853
C18n_QI1678			C18-neg	0.055950473	0.65	216.135
C18n_QI1747			C18-neg	0.160890517	0.65	222.0493
C18n_QI1832			C18-neg	0.084809294	0.65	225.099
C18n_QI1922			C18-neg	0.101046951	0.65	229.1304
C18n_QI1969			C18-neg	0.041765908	0.65	231.0985
C18n_QI2110			C18-neg	0.074066348	0.65	239.1149
C18n_QI2141			C18-neg	0.12869477	0.65	241.0025
C18n_QI2142			C18-neg	0.100083889	0.65	241.0119
C18n_QI2195			C18-neg	0.1307753	0.65	242.151
